symbol,date
FXSUSDT,2025-11-22
GALAUSDC,2025-11-22
GALAUSDT,2025-11-22
GASUSDT,2025-11-22
GHSTUSDT,2025-11-22
GIGGLEUSDC,2025-11-22
GIGGLEUSDT,2025-11-22
GLMRUSDT,2025-11-22
GLMUSDT,2025-11-22
GMTUSDT,2025-11-22
GMXUSDT,2025-11-22
GNOUSDT,2025-11-22
GNSUSDT,2025-11-22
GPSUSDC,2025-11-22
GPSUSDT,2025-11-22
GRTUSDC,2025-11-22
GRTUSDT,2025-11-22
GTCUSDT,2025-11-22
GUNUSDC,2025-11-22
GUNUSDT,2025-11-22
GUSDT,2025-11-22
HAEDALUSDT,2025-11-22
HBARUSDC,2025-11-22
HBARUSDT,2025-11-22
HEIUSDT,2025-11-22
HEMIUSDC,2025-11-22
HEMIUSDT,2025-11-22
HFTUSDT,2025-11-22
HIGHUSDT,2025-11-22
HIVEUSDT,2025-11-22
HMSTRUSDT,2025-11-22
HOLOUSDC,2025-11-22
HOLOUSDT,2025-11-22
HOMEUSDT,2025-11-22
HOOKUSDT,2025-11-22
HOTUSDT,2025-11-22
HUMAUSDT,2025-11-22
HYPERUSDC,2025-11-22
HYPERUSDT,2025-11-22
ICPUSDC,2025-11-22
ICPUSDT,2025-11-22
ICXUSDT,2025-11-22
IDEXUSDT,2025-11-22
IDUSDT,2025-11-22
ILVUSDT,2025-11-22
IMXUSDT,2025-11-22
INITUSDC,2025-11-22
INITUSDT,2025-11-22
INJUSDC,2025-11-22
INJUSDT,2025-11-22
IOSTUSDT,2025-11-22
IOTAUSDC,2025-11-22
IOTAUSDT,2025-11-22
IOTXUSDT,2025-11-22
IOUSDT,2025-11-22
IQUSDT,2025-11-22
JASMYUSDT,2025-11-22
JOEUSDT,2025-11-22
JSTUSDT,2025-11-22
JTOUSDT,2025-11-22
JUPUSDC,2025-11-22
JUPUSDT,2025-11-22
JUVUSDT,2025-11-22
KAIAUSDT,2025-11-22
KAITOUSDT,2025-11-22
KAVAUSDT,2025-11-22
KERNELUSDC,2025-11-22
KERNELUSDT,2025-11-22
KITEUSDC,2025-11-22
KITEUSDT,2025-11-22
KMNOUSDC,2025-11-22
KMNOUSDT,2025-11-22
KNCUSDT,2025-11-22
KSMUSDT,2025-11-22
LAUSDT,2025-11-22
LAYERUSDC,2025-11-22
LAYERUSDT,2025-11-22
LAZIOUSDT,2025-11-22
LDOUSDC,2025-11-22
LDOUSDT,2025-11-22
LINEAUSDC,2025-11-22
LINEAUSDT,2025-11-22
LINKUSDC,2025-11-22
LINKUSDT,2025-11-22
LISTAUSDT,2025-11-22
LPTUSDT,2025-11-22
LQTYUSDT,2025-11-22
LRCUSDT,2025-11-22
LSKUSDT,2025-11-22
LTCUSDC,2025-11-22
LTCUSDT,2025-11-22
LUMIAUSDT,2025-11-22
LUNAUSDT,2025-11-22
LUNCUSDT,2025-11-22
MAGICUSDT,2025-11-22
MANAUSDT,2025-11-22
MANTAUSDC,2025-11-22
MANTAUSDT,2025-11-22
MASKUSDT,2025-11-22
MAVUSDT,2025-11-22
MBLUSDT,2025-11-22
MBOXUSDT,2025-11-22
MDTUSDT,2025-11-22
MEMEUSDT,2025-11-22
METISUSDT,2025-11-22
METUSDC,2025-11-22
METUSDT,2025-11-22
MEUSDT,2025-11-22
MINAUSDT,2025-11-22
MIRAUSDC,2025-11-22
MIRAUSDT,2025-11-22
MITOUSDC,2025-11-22
MITOUSDT,2025-11-22
MLNUSDT,2025-11-22
MMTUSDC,2025-11-22
MMTUSDT,2025-11-22
MORPHOUSDC,2025-11-22
MORPHOUSDT,2025-11-22
MOVEUSDT,2025-11-22
MOVRUSDT,2025-11-22
MTLUSDT,2025-11-22
MUBARAKUSDT,2025-11-22
NEARUSDC,2025-11-22
NEARUSDT,2025-11-22
NEIROUSDC,2025-11-22
NEIROUSDT,2025-11-22
NEOUSDC,2025-11-22
NEOUSDT,2025-11-22
NEWTUSDT,2025-11-22
NEXOUSDT,2025-11-22
NFPUSDT,2025-11-22
NILUSDC,2025-11-22
NILUSDT,2025-11-22
NKNUSDT,2025-11-22
NMRUSDC,2025-11-22
NMRUSDT,2025-11-22
NOMUSDC,2025-11-22
NOMUSDT,2025-11-22
NOTUSDT,2025-11-22
